"#","Class Name","Schedule","Program","Gender","Age Range","Max Enroll","Current Enroll","Openings","Trials","Make Ups","Price"
"1","Wed_7:30pm BUB 2/3","W   - 07:30 PM - 08:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"2","Wed_7:30pm BUB 1","W   - 07:30 PM - 08:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"3","Wed_7:00pm SPR/RCR","W   - 07:00 PM - 08:00 PM","Swim Classes","C","","12","1","11","0","0","$ 248.00"
"4","Wed_7:00pm GLD 1","W   - 07:00 PM - 07:45 PM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"5","Wed_7:00pm CRL 2/3","W   - 07:00 PM - 07:45 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"6","Wed_7:00pm CHL/MST","W   - 07:00 PM - 08:00 PM","Swim Classes","C","","14","0","14","0","0","$ 248.00"
"7","Wed_7:00pm BUB 2/3","W   - 07:00 PM - 07:30 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"8","Wed_7:00pm BUB 1","W   - 07:00 PM - 07:30 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"9","Wed_6:30pm BUB 1","W   - 06:30 PM - 07:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"10","Wed_6:15pm GLD 1/2/3","W   - 06:15 PM - 07:00 PM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"11","Wed_6:15pm CRL 1","W   - 06:15 PM - 07:00 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"12","Wed_6:00pm SPR/RCR","W   - 06:00 PM - 07:00 PM","Swim Classes","C","","12","1","11","0","0","$ 248.00"
"13","Wed_6:00pm CRL 2/3","W   - 06:00 PM - 06:45 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"14","Wed_6:00pm CHL/MST","W   - 06:00 PM - 07:00 PM","Swim Classes","C","","14","1","13","0","0","$ 248.00"
"15","Wed_6:00pm BUB 2/3","W   - 06:00 PM - 06:30 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"16","Wed_5:30pm GLD 1/2/3","W   - 05:30 PM - 06:15 PM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"17","Wed_5:30pm BUB 2/3","W   - 05:30 PM - 06:00 PM","Swim Classes","C","","4","2","2","0","0","$ 226.00"
"18","Wed_5:30pm BUB 1","W   - 05:30 PM - 06:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"19","Wed_5:15pm CRL 2/3","W   - 05:15 PM - 06:00 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"20","Wed_5:00pm SPR/RCR","W   - 05:00 PM - 06:00 PM","Swim Classes","C","","12","0","12","0","0","$ 248.00"
"21","Wed_5:00pm PBUB","W   - 05:00 PM - 05:30 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"22","Wed_5:00pm CHL/MST","W   - 05:00 PM - 06:00 PM","Swim Classes","C","","14","0","14","0","0","$ 248.00"
"23","Wed_4:30pm GLD 1/2/3","W   - 04:30 PM - 05:15 PM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"24","Wed_4:30pm CRL 2/3","W   - 04:30 PM - 05:15 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"25","Wed_4:30pm CRL 1","W   - 04:30 PM - 05:15 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"26","Wed_4:30pm BUB 1","W   - 04:30 PM - 05:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"27","Wed_4:00pm BUB 2/3","W   - 04:00 PM - 04:30 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
